FILE                                           	SEEING	
ATLAS_26p4_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_26p5_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_26p5_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.13  	
ATLAS_26p7_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_26p9_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_27p0_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_27p1_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.00  	
ATLAS_27p2_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_27p3_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_27p6_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_27p6_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.11  	
ATLAS_27p6_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_27p6_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_27p8_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_28p0_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.72  	
ATLAS_28p1_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.84  	
ATLAS_28p3_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_28p4_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_28p5_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_28p7_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_28p8_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
ATLAS_28p8_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_28p8_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_28p9_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.72  	
ATLAS_29p2_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_29p2_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
ATLAS_29p4_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_29p6_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_29p6_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_29p8_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_29p9_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_2p0_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.99  	
ATLAS_2p0_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.92  	
ATLAS_2p0_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits  	0.87  	
ATLAS_2p4_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.89  	
ATLAS_2p4_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.73  	
ATLAS_2p5_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits  	1.21  	
ATLAS_2p7_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.91  	
ATLAS_2p7_m35p5_r_SDSS.V0.5.6A.swarp.cut.fits  	0.81  	
ATLAS_2p8_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.91  	
ATLAS_2p9_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits  	0.86  	
ATLAS_30p0_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_30p0_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_30p1_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_30p3_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_30p4_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_30p5_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.84  	
ATLAS_30p7_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_30p8_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_30p9_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_31p0_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.67  	
ATLAS_31p1_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.15  	
ATLAS_31p2_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.77  	
ATLAS_31p2_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_31p4_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.87  	
ATLAS_31p5_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_31p6_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.87  	
ATLAS_31p9_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_31p9_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_329p1_m35p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.93  	
ATLAS_329p2_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_329p4_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.80  	
ATLAS_329p6_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_329p6_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.95  	
ATLAS_329p8_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_32p0_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_32p1_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.63  	
ATLAS_32p3_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
ATLAS_32p5_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_32p5_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_32p7_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_32p8_m29p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
ATLAS_330p0_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.80  	
ATLAS_330p2_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.75  	
ATLAS_330p3_m35p5_r_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_330p4_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_330p5_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_330p7_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.76  	
ATLAS_330p7_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.99  	
ATLAS_330p9_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.92  	
ATLAS_331p0_m31p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.84  	
ATLAS_331p1_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_331p4_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.76  	
ATLAS_331p5_m35p5_r_SDSS.V0.5.6A.swarp.cut.fits	1.00  	
ATLAS_331p6_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.74  	
ATLAS_331p6_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_331p8_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_331p9_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.91  	
ATLAS_332p1_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits	1.25  	
ATLAS_332p2_m31p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_332p3_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.74  	
ATLAS_332p5_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_332p7_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits	0.84  	
