FILE                                           	SEEING	
ATLAS_20p4_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.69  	
ATLAS_20p5_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.87  	
ATLAS_20p6_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_21p0_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_21p0_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_21p1_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.34  	
ATLAS_21p2_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_21p6_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_21p6_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.48  	
ATLAS_21p7_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_22p1_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.32  	
ATLAS_22p1_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_22p2_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_22p4_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_22p7_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_22p7_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.37  	
ATLAS_22p9_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_23p2_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.20  	
ATLAS_23p2_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_23p4_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.19  	
ATLAS_23p6_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_23p8_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_23p8_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_23p9_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_24p1_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_24p3_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.17  	
ATLAS_24p4_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_24p6_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.35  	
ATLAS_24p8_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_24p9_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.09  	
ATLAS_24p9_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.73  	
