FILE                                           	SEEING	
ATLAS_332p7_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.42  	
ATLAS_332p8_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.21  	
ATLAS_332p9_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.09  	
ATLAS_333p0_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.41  	
ATLAS_333p2_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.74  	
ATLAS_333p3_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.88  	
ATLAS_333p5_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_333p7_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.04  	
ATLAS_333p8_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.16  	
ATLAS_333p9_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.34  	
ATLAS_334p0_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.05  	
ATLAS_334p0_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.23  	
ATLAS_334p1_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.37  	
ATLAS_334p3_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_334p5_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.91  	
ATLAS_334p6_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.06  	
ATLAS_334p8_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_334p9_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.01  	
ATLAS_335p0_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.24  	
ATLAS_335p1_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_335p1_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.59  	
ATLAS_335p2_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.23  	
ATLAS_335p3_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.24  	
ATLAS_335p5_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.75  	
ATLAS_335p6_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.89  	
ATLAS_335p8_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_335p9_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_336p1_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.19  	
ATLAS_336p1_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.02  	
ATLAS_336p2_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_336p3_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.23  	
ATLAS_336p3_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.58  	
ATLAS_336p5_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.14  	
ATLAS_336p8_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.92  	
ATLAS_336p9_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_337p0_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_337p2_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.20  	
ATLAS_337p3_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_337p3_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.09  	
ATLAS_337p4_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.22  	
ATLAS_337p5_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.56  	
ATLAS_337p7_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.27  	
ATLAS_337p8_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.87  	
ATLAS_337p9_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_338p1_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_338p1_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.16  	
ATLAS_338p2_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.33  	
ATLAS_338p4_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_338p5_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.05  	
