FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_343p4_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.86 0.02 4 0.00 0.00 0.02 -57.67 1675.29
ATLAS_343p4_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.43 0.02 2 0.00 0.06 0.06 -271.13 1888.77
ATLAS_343p4_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.62 0.01 2 0.00 0.08 0.11 -370.75 2358.64
ATLAS_343p4_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.34 0.10 1.11 0.01 4 0.00 0.07 0.06 -293.65 2531.26
ATLAS_343p4_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.11 0.01 2 0.00 0.03 0.08 -280.23 2231.71
ATLAS_343p7_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.06 0.01 4 0.00 0.00 0.02 -155.61 1947.03
ATLAS_343p7_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.82 0.01 2 0.00 0.11 0.05 -331.66 2144.54
ATLAS_343p7_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.66 0.01 2 0.00 0.22 0.11 -374.58 2981.28
ATLAS_343p7_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.73 0.01 2 0.00 0.18 0.13 -402.04 2574.25
ATLAS_343p7_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.67 0.01 2 0.00 0.10 0.10 -371.44 3027.34
