ATLAS_223.6_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.3_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.7_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.3_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.7_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.3_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.7_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.3_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.7_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.4_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.8_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.4_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.8_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_22.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_22.7_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.4_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.8_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.4_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.1_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.3_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.5_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_23.1_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_23.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.0_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.3_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.2_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.2_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.6_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.4_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.5_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_27.6_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_27.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.8_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_29.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.0_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.4_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.5_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.6_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.6_-37.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.8_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_30.0_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_30.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_31.2_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_322.8_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_323.8_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_324.8_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_325.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_326.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_327.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_328.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_329.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.5_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.5_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_330.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_331.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_332.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_333.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_334.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_335.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_336.7_-9.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
