ATLAS_232.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.3_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.4_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_23.6_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_23.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.4_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.6_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_24.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.2_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.6_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_25.7_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.4_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.7_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_26.8_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_27.6_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_27.7_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_27.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.0_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.7_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_28.8_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_29.2_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_29.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.2_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.5_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.8_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_2.9_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_30.0_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_30.4_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_30.8_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_31.2_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_31.6_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.1_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.5_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.5_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_32.8_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_330.0_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_331.0_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_332.1_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_333.1_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_334.1_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
