# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2012-07-08T08:58:10.662 -0.0243986 0.0200545 1 -0.00590000 0.539929
OMEGA.2012-08-13T06:34:23.525 0.0181942 0.0191041 1 -0.00285900 1.07762
OMEGA.2012-08-13T06:35:57.255 0.0213877 0.0181101 1 0.00285900 0.971144
OMEGA.2011-10-24T05:05:18.448 0.00876352 0.0429525 1 -0.000363000 1.17235
OMEGA.2011-10-24T05:06:43.238 -0.0124016 0.0455126 1 0.000363000 1.23968
OMEGA.2012-09-10T06:43:03.540 0.00950037 0.0187690 1 0.00136900 0.971463
OMEGA.2012-09-10T06:44:29.590 0.00393442 -0.00485390 1 -0.00136900 1.17991
OMEGA.2012-09-11T06:09:39.315 0.000396176 -0.00163643 1 -0.00122800 0.824116
OMEGA.2012-09-11T06:11:19.646 -0.0100953 0.00141530 1 0.00122800 0.825293
OMEGA.2011-12-01T03:24:15.468 0.00319518 0.0587815 1 -0.000717000 0.707193
OMEGA.2011-12-01T03:25:40.189 -0.00104302 0.0332904 1 0.000717000 0.739760
OMEGA.2011-11-28T03:12:28.031 -0.00858386 0.0139073 1 -0.00627600 1.09345
OMEGA.2011-11-28T03:14:01.583 -0.0178937 0.00872453 1 -0.00452700 1.25463
OMEGA.2012-07-17T08:25:15.111 0.00598385 0.00521499 1 0.00713700 1.06036
OMEGA.2012-07-17T08:26:48.832 0.000324070 0.000165718 1 0.00947900 1.09151
OMEGA.2012-07-24T07:14:32.451 0.0675884 -0.0320781 1 -0.00469000 0.891739
OMEGA.2012-07-24T07:16:02.371 0.0504619 -0.0198938 1 -0.00112200 0.992410
OMEGA.2012-01-01T01:57:54.181 -0.00984345 0.0316839 1 0.000561000 0.750002
OMEGA.2012-01-01T01:59:19.072 -0.0333348 0.00116912 1 -0.000561000 0.715105
OMEGA.2012-09-10T08:12:43.934 0.00760154 0.00844219 1 -0.000419000 1.06326
OMEGA.2012-09-10T08:14:11.444 0.00833047 -0.0127860 1 0.000419000 0.934294
OMEGA.2011-10-30T05:04:34.753 0.0193965 -0.00152886 1 0.000294000 0.924526
OMEGA.2011-10-30T05:06:18.465 0.0234337 -0.000407467 1 -0.000294000 0.885794
OMEGA.2011-12-02T03:42:54.742 0.000859406 0.0373459 1 -0.0112460 0.691451
OMEGA.2011-12-02T03:44:24.242 0.0263685 0.0435983 1 -0.00804700 0.675445
OMEGA.2012-08-08T06:30:14.423 -0.000823822 -0.000865509 1 0.00880300 0.883237
OMEGA.2012-08-08T06:31:41.833 0.000512951 -0.00883539 1 0.0104910 0.834217
OMEGA.2011-10-02T05:52:32.666 0.000658232 -0.0169311 1 0.000194000 0.841588
OMEGA.2011-10-02T05:54:02.637 0.00919554 -0.00484082 1 -0.000194000 0.808065
OMEGA.2011-09-04T03:55:26.057 0.0493076 -0.0110900 1 -0.000521000 0.688490
OMEGA.2011-09-04T03:56:50.897 0.0373180 0.00551347 1 0.000521000 0.703903
OMEGA.2011-08-13T07:25:34.469 -0.0310204 -0.00524140 1 0.0124300 1.04019
OMEGA.2011-08-13T07:27:58.651 -0.0213063 0.00347527 1 -0.0124300 0.875064
OMEGA.2011-09-06T07:24:21.233 0.0353518 -0.0397930 1 0.0739910 0.752835
OMEGA.2011-09-06T07:26:01.304 0.0266081 -0.0353200 1 0.0787850 0.812587
OMEGA.2012-09-09T04:05:05.912 0.0272114 0.0101830 1 -0.0777980 1.05156
OMEGA.2012-09-09T04:06:46.323 0.0217367 0.00432671 1 -0.0749780 1.04503
OMEGA.2011-08-18T08:47:00.568 0.0112025 0.0272818 1 0.000582000 1.31136
OMEGA.2011-08-18T08:48:25.889 0.0103767 0.0294938 1 -0.000582000 1.09538
OMEGA.2011-08-26T09:13:02.736 0.161425 -0.00940638 0 0.0337540 1.34956
OMEGA.2011-08-26T09:14:36.538 0.158026 -0.00554198 0 0.0329430 1.41032
OMEGA.2012-09-13T04:13:53.580 -0.00711984 -0.0551358 1 -0.0349040 0.794443
OMEGA.2012-09-13T04:15:26.050 -0.00919843 -0.0440855 1 -0.0317940 0.757534
OMEGA.2011-09-05T03:43:53.810 0.104691 0.00462975 1 -0.000250000 0.632663
OMEGA.2011-09-05T03:45:18.521 0.0836384 -0.00335226 1 0.000250000 0.594578
OMEGA.2011-09-27T05:27:18.917 -0.0187244 -0.0206807 1 0.0159470 0.892869
OMEGA.2011-09-27T05:28:47.748 -0.0303638 -0.0407743 1 0.0175560 0.902464
OMEGA.2011-09-27T07:23:54.376 -0.0197292 -0.00640083 1 -0.0160770 0.812740
OMEGA.2011-09-27T07:25:23.186 -0.0185998 -0.0195104 1 -0.0174270 0.739320
OMEGA.2011-08-26T08:04:01.576 -0.000785186 -0.0212710 1 0.0639790 0.687611
OMEGA.2011-08-26T08:05:44.307 0.00407316 -0.0179759 1 0.0627940 0.662370
OMEGA.2012-11-13T03:29:06.339 -0.0186965 -0.00686640 1 -0.0642180 1.08214
OMEGA.2012-11-13T03:30:51.410 -0.00107162 -0.0126367 1 -0.0625540 1.10899
OMEGA.2011-08-23T07:43:11.503 -0.0139582 0.0172682 1 0.000383000 0.791314
OMEGA.2011-08-23T07:44:40.024 -0.0215919 0.0172607 1 0.000372000 0.800889
OMEGA.2011-08-23T08:26:51.399 -0.0157643 -0.000291142 1 -0.00123400 0.856200
OMEGA.2011-08-23T08:28:19.929 -0.0206972 0.0266604 0 0.000479000 1.08466
OMEGA.2012-10-17T02:24:17.762 0.0145986 0.0370857 1 0.00579500 0.987401
OMEGA.2012-10-17T02:25:47.782 0.00509333 0.0327167 1 -0.00579500 1.03885
OMEGA.2011-11-30T03:50:36.922 -0.0396685 -0.0278902 1 0.000349000 0.897386
OMEGA.2011-11-30T03:52:01.823 0.0111024 -0.0231427 1 -0.000349000 0.901750
OMEGA.2011-10-31T00:57:35.752 0.0213341 0.00778833 1 0.000396000 0.703834
OMEGA.2011-10-31T00:59:03.163 0.0142063 -0.00497411 1 -0.000396000 0.799100
OMEGA.2012-07-22T07:45:18.913 -0.00146610 -0.0276375 1 0.00166600 0.829901
OMEGA.2012-07-22T07:46:59.213 -0.0106141 -0.0331015 1 -0.00166600 0.972054
OMEGA.2011-11-04T01:26:02.646 -0.0243412 -0.0331989 1 -0.000607000 0.629848
OMEGA.2011-11-04T01:27:28.848 -0.0503315 -0.0549232 1 0.000607000 0.640012
OMEGA.2011-09-30T07:13:32.565 0.0516359 0.0128119 1 -0.000822000 0.621417
OMEGA.2011-09-30T07:15:02.575 0.0480150 0.00474103 1 0.000822000 0.592371
OMEGA.2011-08-21T07:54:52.176 -0.00789689 -0.00330505 1 0.00230800 0.729412
OMEGA.2011-08-21T07:56:20.777 -0.0176953 0.000661866 1 0.00318800 0.746548
OMEGA.2011-08-21T08:50:51.249 -0.00878479 -0.00950210 1 -0.00149200 0.892864
OMEGA.2011-08-21T08:52:19.921 -0.0100176 -0.0214480 1 -0.00400400 0.721395
OMEGA.2011-09-29T06:45:15.742 -0.0289925 -0.0204426 1 -0.000125000 1.71010
